TAX_ID,Accessibility,lat,lon
31150006500100000000000000,City-Owned,-76.15033289,42.98482294
31150006400000200000000000,Seizable,-76.14973569,42.98484482
31150006400000200000000000,Seizable,-76.14694178,42.98545772
31150006400000200000000000,SCSD,-76.14787623,42.9864473
31150006400000100000000000,Seizable,-76.14008451,42.98660606
31150006400000100000000000,Seizable,-76.14306241,42.9867494
31150006400000100000000000,Greater Syracuse Land Bank,-76.13946073,42.98687849
31150006400000100000000000,Greater Syracuse Land Bank,-76.14358109,42.98782709
31150006400000100000000000,Greater Syracuse Land Bank,-76.14302829,42.98784105
31150006400000100000000000,Seizable,-76.14046689,42.98791066
31150006400000000000000000,Seizable,-76.13664325,42.98794796
31150006400000100000000000,Suspected Zombie Property,-76.14174892,42.98837786
31150006300000000000000000,City Park,-76.13548162,42.9889765
31150006400000000000000000,City Park,-76.14029499,42.98996902
31150006500100000000000000,City-Owned,-76.16313405,42.99049371
31150006500100000000000000,City-Owned,-76.14900803,42.990631
31150006700000000000000000,City-Owned,-76.13583131,42.99112478
31150006700000100000000000,Suspected Zombie Property,-76.14331093,42.99166005
31150006600000000000000000,Seizable,-76.15227104,42.99173509
31150006500100000000000000,Seizable,-76.14846314,42.99201751
31150006700000200000000000,Seizable,-76.14477561,42.99213792
31150006500100000000000000,Seizable,-76.14858555,42.99215739
31150006700000000000000000,Seizable,-76.13582398,42.99226908
31150006600000100000000000,Seizable,-76.15196477,42.99270884
31150006700000200000000000,Seizable,-76.14826431,42.99307708
31150006700000200000000000,Seizable,-76.14804978,42.99307827
31150006600000100000000000,Greater Syracuse Land Bank,-76.15246587,42.99309126
31150006700000000000000000,Seizable,-76.13607427,42.99380193
31150006700000100000000000,Greater Syracuse Land Bank,-76.14361863,42.99408098
31150006700000000000000000,Seizable,-76.13848443,42.99445672
31150006700000000000000000,Suspected Zombie Property,-76.14558657,42.99457476
31150006500100000000000000,City Park,-76.15941565,42.99459872
31150006700000000000000000,Suspected Zombie Property,-76.1431342,42.99487596
31150006800000000000000000,Suspected Zombie Property,-76.14653509,42.99528543
31150006800000000000000000,Seizable,-76.14261032,42.99539581
31150006800000000000000000,Greater Syracuse Land Bank,-76.14205052,42.99541876
31150006800000000000000000,Seizable,-76.14186392,42.99542641
31150006700000000000000000,City-Owned,-76.13614052,42.99543353
31150006800000000000000000,Seizable,-76.13898827,42.99548548
31150006800000000000000000,Seizable,-76.13860618,42.99616149
31150006500100000000000000,City-Owned,-76.15442673,42.99617968
31150006800000000000000000,Suspected Zombie Property,-76.14248975,42.99626964
31150006800000000000000000,SCSD,-76.14556446,42.99672792
31150006600000000000000000,Seizable,-76.15017722,42.99677338
31150006800000000000000000,City-Owned,-76.14112813,42.99685419
31150006900000000000000000,Seizable,-76.15616586,42.9970201
31150006800000000000000000,City-Owned,-76.14089477,42.99703449
31150006800000000000000000,Suspected Zombie Property,-76.14266438,42.99714459
31150006800000000000000000,Suspected Zombie Property,-76.14310152,42.9976199
31150006900000000000000000,City-Owned,-76.15981325,42.99765539
31150006800000000000000000,Seizable,-76.13707422,42.99788141
31150006800000000000000000,Seizable,-76.14178972,42.99823291
31150006900000000000000000,Seizable,-76.15866864,42.99829236
31150006800000000000000000,City Park,-76.1474359,42.99833927
31150006800000000000000000,SCSD,-76.14407048,42.998685
31150006800000000000000000,Seizable,-76.13655539,42.99895532
31150006500000000000000000,City-Owned,-76.16321405,42.99930065
31150006800000000000000000,City-Owned,-76.14115768,42.99947615
31150006900000000000000000,Suspected Zombie Property,-76.16042001,42.99952951
31150006500000000000000000,City-Owned,-76.16147281,42.99953137
31150006900000000000000000,Suspected Zombie Property,-76.15745304,42.9996252
31150006800000000000000000,Seizable,-76.13706141,42.99982037
